Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Minneapolis, KS",Jun-23,$128K,-28.80%,-11.90%,3,-40.00%,50.00%,1,,-66.70%,3,-40.00%,-40.00%,15,6,-24,,,
"Minneapolis, KS",Jul-23,$75K,-41.40%,-67.70%,1,-66.70%,-66.70%,4,300.00%,100.00%,4,33.30%,0.00%,108,93,36,,,
"Minneapolis, KS",Aug-23,$229K,205.30%,,3,200.00%,,2,-50.00%,,4,0.00%,,18,-90,,,,
"Minneapolis, KS",Sep-23,$127K,-44.50%,252.80%,3,0.00%,50.00%,,,,3,-25.00%,-40.00%,34,16,9,,,
"Minneapolis, KS",Oct-23,$213K,67.70%,6.50%,1,-66.70%,-50.00%,1,,-66.70%,2,-33.30%,-71.40%,33,-1,-47,,,
"Minneapolis, KS",Nov-23,$16K,-92.50%,-93.10%,1,0.00%,-50.00%,,,,2,0.00%,-77.80%,3,-30,-101,,,
"Minneapolis, KS",Jan-24,$145K,,-21.60%,1,,0.00%,,,,2,,-75.00%,130,,19,100.00%,,
"Minneapolis, KS",May-24,$185K,,2.80%,1,,-80.00%,4,,,2,,-60.00%,9,,0,,,
"Minneapolis, KS",Jun-24,$195K,5.50%,52.30%,3,200.00%,0.00%,4,0.00%,300.00%,4,100.00%,33.30%,6,-3,-9,,,
"Mission Hills, KS",Jan-12,"$1,475K",19.70%,222.80%,4,-33.30%,33.30%,7,250.00%,133.30%,,,,279,-138,48,,,
"Mission Hills, KS",Feb-12,$828K,-43.90%,14.90%,5,25.00%,66.70%,7,0.00%,16.70%,,,,153,-126,59,,,
"Mission Hills, KS",Mar-12,$620K,-25.10%,-14.20%,3,-40.00%,50.00%,10,42.90%,-9.10%,,,,158,5,-90,,,
"Mission Hills, KS",Apr-12,$530K,-14.50%,-23.60%,4,33.30%,0.00%,8,-20.00%,-27.30%,,,,264,106,182,,,
