Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Springfield, NE",Sep-15,$145K,16.00%,-14.20%,1,-66.70%,-66.70%,3,-57.10%,200.00%,8,0.00%,60.00%,4,-17,-26,100.00%,-0.30%,0.60%
"Springfield, NE",Oct-15,$154K,5.90%,12.90%,6,500.00%,200.00%,3,0.00%,50.00%,5,-37.50%,25.00%,5,1,-32,99.50%,-0.50%,2.30%
"Springfield, NE",Nov-15,$140K,-8.80%,8.50%,1,-83.30%,-50.00%,2,-33.30%,,4,-20.00%,300.00%,14,9,-12,98.20%,-1.20%,1.70%
"Springfield, NE",Dec-15,$145K,3.60%,16.00%,4,300.00%,0.00%,1,-50.00%,,3,-25.00%,200.00%,65,51,-49,94.40%,-3.80%,6.80%
"Springfield, NE",Jan-16,$128K,-11.40%,,4,0.00%,,1,0.00%,,4,33.30%,,20,-45,,101.40%,7.00%,
"Springfield, NE",Feb-16,$114K,-11.30%,,2,-50.00%,,4,300.00%,,5,25.00%,,12,-8,,100.00%,-1.40%,
"Springfield, NE",Apr-16,$143K,,6.70%,3,,200.00%,2,,,5,,-16.70%,3,,-19,100.40%,,3.20%
"Springfield, NE",May-16,$163K,14.00%,,1,-66.70%,,2,0.00%,,5,0.00%,,,,,98.80%,-1.60%,
"Springfield, NE",Jun-16,$160K,-1.80%,5.60%,7,600.00%,75.00%,8,300.00%,100.00%,7,40.00%,0.00%,54,,8,100.20%,1.40%,2.00%
"Springfield, NE",Jul-16,$146K,-8.80%,8.10%,3,-57.10%,50.00%,1,-87.50%,-50.00%,6,-14.30%,0.00%,7,-47,-42,100.20%,0.00%,2.40%
"Springfield, NE",Aug-16,$194K,32.50%,54.80%,6,100.00%,100.00%,4,300.00%,-42.90%,7,16.70%,-12.50%,41,34,20,98.20%,-2.00%,-2.10%
"Springfield, NE",Sep-16,$204K,5.40%,40.70%,2,-66.70%,100.00%,2,-50.00%,-33.30%,5,-28.60%,-37.50%,29,-12,25,98.20%,0.00%,-1.80%
"Springfield, NE",Oct-16,$150K,-26.50%,-2.30%,2,0.00%,-66.70%,3,50.00%,0.00%,5,0.00%,0.00%,32,3,27,96.90%,-1.30%,-2.60%
"Springfield, NE",Nov-16,$96K,-36.00%,-31.40%,2,0.00%,100.00%,2,-33.30%,0.00%,4,-20.00%,0.00%,75,43,61,102.50%,5.60%,4.30%
"Springfield, NE",Dec-16,$250K,160.40%,72.40%,1,-50.00%,-75.00%,2,0.00%,100.00%,6,50.00%,100.00%,125,50,60,100.00%,-2.50%,5.60%
"Springfield, NE",Jan-17,$252K,0.60%,95.80%,2,100.00%,-50.00%,2,0.00%,100.00%,4,-33.30%,0.00%,104,-21,84,91.90%,-8.20%,-9.50%
"Springfield, NE",Feb-17,$163K,-35.20%,43.00%,1,-50.00%,-50.00%,,,,,,,47,-57,35,97.00%,5.10%,-3.00%
"Springfield, NE",Mar-17,$220K,35.00%,,5,400.00%,,1,,,1,,,78,31,,98.30%,1.30%,
"Springfield, NE",Apr-17,$240K,9.10%,67.80%,1,-80.00%,-66.70%,1,0.00%,-50.00%,1,0.00%,-80.00%,40,-38,37,100.00%,1.70%,-0.40%
"Springfield, NE",May-17,$193K,-19.80%,18.10%,2,100.00%,100.00%,2,100.00%,0.00%,3,200.00%,-40.00%,145,105,,95.90%,-4.10%,-2.90%
"Springfield, NE",Jun-17,$50K,-74.00%,-68.80%,1,-50.00%,-85.70%,,,,1,-66.70%,-85.70%,,,,100.00%,4.10%,-0.20%
"Springfield, NE",Jul-17,$258K,415.00%,76.40%,2,100.00%,-33.30%,2,,100.00%,,,,27,,20,100.00%,0.00%,-0.20%
"Springfield, NE",Aug-17,$155K,-39.80%,-19.90%,1,-50.00%,-83.30%,,,,,,,6,-21,-35,103.30%,3.30%,5.10%
"Springfield, NE",Sep-17,$258K,66.50%,26.50%,1,0.00%,-50.00%,3,,50.00%,1,,-80.00%,3,-3,-26,103.20%,-0.10%,5.00%
"Springfield, NE",Oct-17,$165K,-36.00%,10.00%,1,0.00%,-50.00%,2,-33.30%,-33.30%,2,100.00%,-60.00%,13,10,-19,100.00%,-3.20%,3.10%
"Springfield, NE",Nov-17,$152K,-7.90%,58.30%,1,0.00%,-50.00%,,,,,,,56,43,-19,104.80%,4.80%,2.30%
"Springfield, NE",Dec-17,$183K,20.40%,-26.80%,3,200.00%,200.00%,1,,-50.00%,1,,-83.30%,19,-37,-106,100.30%,-4.50%,0.30%
"Springfield, NE",Mar-18,$180K,,-18.20%,1,,-80.00%,3,,200.00%,1,,0.00%,50,,-28,100.00%,,1.70%
"Springfield, NE",Apr-18,$130K,-27.80%,-45.80%,1,0.00%,0.00%,2,-33.30%,100.00%,,,,22,-28,-18,94.50%,-5.50%,-5.50%
"Springfield, NE",May-18,$150K,15.40%,-22.10%,3,200.00%,50.00%,1,-50.00%,-50.00%,1,,-66.70%,3,-19,-142,98.90%,4.40%,3.00%
"Springfield, NE",Jun-18,$110K,-26.70%,120.00%,1,-66.70%,0.00%,7,600.00%,,6,500.00%,500.00%,2,-1,,95.70%,-3.30%,-4.30%
"Springfield, NE",Jul-18,$151K,37.30%,-41.40%,2,100.00%,0.00%,2,-71.40%,0.00%,4,-33.30%,,4,2,-23,101.40%,5.70%,1.30%
"Springfield, NE",Aug-18,$170K,12.30%,9.40%,4,100.00%,300.00%,5,150.00%,,7,75.00%,,37,33,31,97.80%,-3.60%,-5.50%
"Springfield, NE",Sep-18,$170K,0.30%,-34.10%,1,-75.00%,0.00%,4,-20.00%,33.30%,8,14.30%,700.00%,31,-6,28,97.20%,-0.60%,-6.00%
"Springfield, NE",Oct-18,$206K,21.20%,24.80%,5,400.00%,400.00%,,,,5,-37.50%,150.00%,12,-19,-1,104.30%,7.10%,4.30%
"Springfield, NE",Nov-18,$180K,-12.60%,18.40%,1,-80.00%,0.00%,1,,,4,-20.00%,,49,37,-7,100.60%,-3.70%,-4.30%
"Springfield, NE",Dec-18,$125K,-30.60%,-31.70%,1,0.00%,-66.70%,,,,2,-50.00%,100.00%,61,12,42,89.30%,-11.30%,-11.00%
"Springfield, NE",Jan-19,$155K,24.00%,,1,0.00%,,,,,2,0.00%,,184,123,,100.00%,10.70%,
"Springfield, NE",Feb-19,$165K,6.50%,,1,0.00%,,1,,,1,-50.00%,,64,-120,,100.00%,0.00%,
"Springfield, NE",Mar-19,$115K,-30.50%,-36.30%,1,0.00%,0.00%,2,100.00%,-33.30%,1,0.00%,0.00%,1,-63,-49,100.00%,0.00%,0.00%
"Springfield, NE",Apr-19,$232K,102.00%,78.10%,2,100.00%,100.00%,3,50.00%,50.00%,2,100.00%,,9,8,-13,98.70%,-1.30%,4.10%
"Springfield, NE",May-19,$168K,-27.60%,11.70%,2,0.00%,-33.30%,3,0.00%,200.00%,3,50.00%,200.00%,7,-2,4,101.40%,2.70%,2.50%
"Springfield, NE",Jun-19,$185K,10.40%,68.20%,1,-50.00%,0.00%,3,0.00%,-57.10%,3,0.00%,-50.00%,230,223,228,100.00%,-1.40%,4.30%
"Springfield, NE",Jul-19,$98K,-47.00%,-35.10%,2,100.00%,0.00%,2,-33.30%,0.00%,3,0.00%,-25.00%,29,-201,25,100.50%,0.50%,-0.80%
"Springfield, NE",Aug-19,$190K,93.90%,12.10%,5,150.00%,25.00%,2,0.00%,-60.00%,3,0.00%,-57.10%,20,-9,-17,99.50%,-1.10%,1.70%
"Springfield, NE",Sep-19,$185K,-2.60%,8.80%,1,-80.00%,0.00%,,,,1,-66.70%,-87.50%,3,-17,-28,101.40%,1.90%,4.20%
"Springfield, NE",Oct-19,$275K,48.60%,33.50%,1,0.00%,-80.00%,4,,,2,100.00%,-60.00%,55,52,43,98.20%,-3.20%,-6.10%
"Springfield, NE",Nov-19,$209K,-24.20%,15.80%,2,100.00%,100.00%,,,,1,-50.00%,-75.00%,10,-45,-39,101.00%,2.70%,0.40%
"Springfield, NE",Dec-19,$363K,74.10%,190.40%,1,-50.00%,0.00%,1,,,1,0.00%,-50.00%,173,163,112,94.30%,-6.70%,5.00%
"Springfield, NE",Jan-20,$180K,-50.40%,16.10%,1,0.00%,0.00%,1,0.00%,,1,0.00%,-50.00%,47,-126,-137,98.90%,4.60%,-1.10%
"Springfield, NE",Feb-20,$82K,-54.70%,-50.60%,3,200.00%,200.00%,3,200.00%,200.00%,,,,16,-31,-48,98.90%,0.00%,-1.10%
"Springfield, NE",Apr-20,$180K,,-22.20%,1,,-50.00%,5,,66.70%,6,,200.00%,2,,-7,102.90%,,4.20%
"Springfield, NE",May-20,$201K,11.40%,19.70%,2,100.00%,0.00%,2,-60.00%,-33.30%,3,-50.00%,0.00%,30,28,23,97.10%,-5.70%,-4.30%
"Springfield, NE",Jun-20,$254K,26.70%,37.30%,3,50.00%,200.00%,2,0.00%,-33.30%,1,-66.70%,-66.70%,8,-22,-222,101.30%,4.20%,1.30%
"Springfield, NE",Jul-20,$231K,-9.00%,136.00%,4,33.30%,100.00%,,,,1,0.00%,-66.70%,25,17,-4,98.60%,-2.70%,-1.90%
"Springfield, NE",Aug-20,$180K,-22.20%,-5.30%,1,-75.00%,-80.00%,2,,0.00%,2,100.00%,-33.30%,7,-18,-13,102.90%,4.20%,3.40%
"Springfield, NE",Oct-20,$225K,,-18.20%,2,,100.00%,3,,-25.00%,2,,0.00%,49,,-6,98.50%,,0.30%
"Springfield, NE",Nov-20,$229K,1.60%,9.60%,2,0.00%,0.00%,,,,1,-50.00%,0.00%,3,-46,-7,101.50%,3.00%,0.60%
"Springfield, NE",Dec-20,$165K,-27.80%,-54.50%,3,50.00%,200.00%,,,,1,0.00%,0.00%,15,12,-158,97.30%,-4.20%,3.00%
"Springfield, NE",Feb-21,$200K,,145.40%,1,,-66.70%,,,,1,,,27,,11,95.70%,,-3.20%
"Springfield, NE",Mar-21,$325K,62.50%,,3,200.00%,,1,,,2,100.00%,,4,-23,,99.50%,3.90%,
"Springfield, NE",May-21,$212K,,5.70%,1,,-50.00%,1,,-50.00%,1,,-66.70%,3,,-27,108.70%,,11.60%
"Springfield, NE",Jun-21,$226K,6.40%,-11.20%,2,100.00%,-33.30%,2,100.00%,0.00%,1,0.00%,0.00%,4,1,-4,102.30%,-6.40%,1.00%
"Springfield, NE",Jul-21,"$1,100K",387.80%,375.70%,1,-50.00%,-75.00%,1,-50.00%,,1,0.00%,0.00%,90,86,65,88.00%,-14.30%,-10.60%
"Springfield, NE",Aug-21,$215K,-80.50%,19.40%,2,100.00%,100.00%,4,300.00%,100.00%,1,0.00%,-50.00%,4,-86,-3,102.60%,14.60%,-0.30%
"Springfield, NE",Sep-21,$206K,-4.20%,,2,0.00%,,3,-25.00%,,4,300.00%,,7,3,,103.70%,1.20%,
"Springfield, NE",Oct-21,$170K,-17.50%,-24.40%,3,50.00%,50.00%,2,-33.30%,-33.30%,1,-75.00%,-50.00%,3,-4,-46,101.80%,-1.90%,3.30%
"Springfield, NE",Nov-21,$343K,101.50%,49.90%,4,33.30%,100.00%,2,0.00%,,,,,28,25,25,100.30%,-1.50%,-1.20%
"Springfield, NE",Dec-21,$227K,-33.70%,37.60%,3,-25.00%,0.00%,1,-50.00%,,,,,6,-22,-9,96.20%,-4.10%,-1.10%
"Springfield, NE",Jan-22,$185K,-18.50%,,1,-66.70%,,2,100.00%,,,,,1,-5,,100.00%,3.80%,
"Springfield, NE",Feb-22,$250K,35.10%,25.00%,1,0.00%,0.00%,2,0.00%,,1,,0.00%,2,1,-25,100.00%,0.00%,4.30%
"Springfield, NE",Mar-22,$215K,-14.20%,-34.00%,2,100.00%,-33.30%,3,50.00%,200.00%,,,,8,6,4,108.60%,8.60%,9.10%
"Springfield, NE",Apr-22,$271K,26.30%,,3,50.00%,,1,-66.70%,,,,,5,-3,,104.00%,-4.60%,
"Springfield, NE",May-22,$238K,-12.20%,12.30%,1,-66.70%,0.00%,2,100.00%,100.00%,,,,5,0,2,105.80%,1.80%,-2.90%
"Springfield, NE",Jun-22,$240K,0.80%,6.40%,3,200.00%,50.00%,1,-50.00%,-50.00%,,,,1,-4,-3,111.80%,6.10%,9.50%
"Springfield, NE",Jul-22,$990K,312.50%,-10.00%,2,-33.30%,100.00%,,,,,,,143,142,53,101.00%,-10.80%,13.00%
"Springfield, NE",Nov-22,$210K,,-38.70%,1,,-75.00%,1,,-50.00%,,,,12,,-16,95.50%,,-4.90%
"Springfield, NE",Dec-22,$250K,19.00%,10.10%,2,100.00%,-33.30%,,,,,,,2,-10,-4,100.00%,4.50%,3.80%
"Springfield, NE",Feb-23,$183K,,-27.00%,2,,100.00%,3,,50.00%,1,,0.00%,8,,6,104.70%,,4.70%
"Springfield, NE",Mar-23,$313K,71.50%,45.90%,3,50.00%,50.00%,,,,,,,4,-4,-4,101.50%,-3.20%,-7.10%
"Springfield, NE",Apr-23,$425K,35.80%,56.80%,1,-66.70%,-66.70%,1,,0.00%,,,,36,32,31,97.70%,-3.80%,-6.30%
"Springfield, NE",May-23,$275K,-35.30%,15.50%,1,0.00%,0.00%,3,200.00%,50.00%,,,,7,-29,2,107.80%,10.10%,2.10%
"Springfield, NE",Jun-23,$348K,26.50%,45.00%,3,200.00%,0.00%,1,-66.70%,0.00%,1,,,7,0,6,98.80%,-9.00%,-13.00%
"Springfield, NE",Aug-23,$274K,,,1,,,3,,,2,,,13,,,98.20%,,
"Springfield, NE",Sep-23,$450K,64.20%,,1,0.00%,,,,,2,0.00%,,1,-12,,100.00%,1.80%,
"Springfield, NE",Oct-23,$240K,-46.70%,,2,100.00%,,2,,,1,-50.00%,,,,,100.00%,0.00%,
"Springfield, NE",Dec-23,$229K,,-8.60%,2,,0.00%,1,,,,,,66,,64,99.40%,,-0.60%
"Springfield, NE",Mar-24,$179K,,-42.80%,3,,0.00%,2,,,,,,3,,-1,101.80%,,0.30%
"Springfield, NE",Apr-24,$304K,69.80%,-28.50%,1,-66.70%,0.00%,1,-50.00%,0.00%,1,,,6,3,-30,103.10%,1.30%,5.30%
"St. Libory, NE",Jun-16,$96K,,,2,,,,,,,,,88,,,92.80%,,
"St. Libory, NE",Dec-16,$110K,,,1,,,1,,,,,,3,,,93.20%,,
"St. Libory, NE",Jun-18,$122K,,,1,,,,,,,,,30,,,100.00%,,
"St. Libory, NE",Sep-19,$241K,,,1,,,,,,,,,48,,,100.50%,,
"St. Libory, NE",May-20,$175K,,,2,,,,,,1,,,88,,,97.50%,,
"St. Libory, NE",Jul-20,$255K,,,1,,,1,,,1,,,142,,,100.00%,,
"St. Libory, NE",Sep-20,$197K,,-18.30%,1,,0.00%,,,,1,,,78,,30,99.00%,,-1.50%
"St. Libory, NE",Oct-20,$224K,13.70%,,1,0.00%,,,,,,,,74,-4,,99.60%,0.60%,
"St. Libory, NE",Oct-21,$269K,,20.10%,1,,0.00%,,,,1,,,52,,-22,100.00%,,0.40%
"St. Libory, NE",Nov-21,$199K,-26.00%,,1,0.00%,,,,,,,,56,4,,94.90%,-5.10%,
"St. Libory, NE",May-22,$180K,,,2,,,,,,,,,20,,,100.50%,,
"St. Libory, NE",Aug-22,$235K,,,1,,,,,,,,,49,,,102.20%,,
"St. Libory, NE",Feb-23,$315K,,,1,,,,,,,,,3,,,98.00%,,
"St. Libory, NE",Jun-23,$242K,,,2,,,1,,,,,,34,,,105.10%,,
"St. Libory, NE",Aug-23,$219K,,-6.80%,1,,0.00%,,,,,,,2,,-47,100.00%,,-2.20%
"St. Paul, NE",Feb-15,$78K,,,1,,,1,,,1,,,109,,,95.10%,,
"St. Paul, NE",Jul-15,$43K,,,1,,,,,,2,,,53,,,100.00%,,
"St. Paul, NE",Mar-16,$138K,,,2,,,1,,,5,,,243,,,94.70%,,
"St. Paul, NE",Apr-16,$64K,-53.50%,,1,-50.00%,,,,,4,-20.00%,,172,-71,,94.80%,0.20%,
"St. Paul, NE",May-16,$143K,122.70%,,4,300.00%,,1,,,2,-50.00%,,129,-43,,97.00%,2.20%,
"St. Paul, NE",Jul-16,$50K,,16.30%,1,,0.00%,,,,2,,0.00%,49,,-4,111.10%,,11.10%
"St. Paul, NE",Sep-16,$180K,,,1,,,,,,2,,,247,,,82.20%,,
"St. Paul, NE",Jan-17,$180K,,,1,,,,,,1,,,222,,,100.00%,,
"St. Paul, NE",Mar-17,$149K,,8.40%,1,,-50.00%,,,,,,,218,,-25,96.20%,,1.50%
"St. Paul, NE",Aug-17,$94K,,,2,,,3,,,8,,,112,,,93.90%,,
"St. Paul, NE",Sep-17,$157K,66.80%,-12.60%,4,100.00%,300.00%,,,,4,-50.00%,100.00%,68,-44,-179,95.40%,1.60%,13.20%
"St. Paul, NE",Oct-17,$65K,-58.70%,,1,-75.00%,,2,,,5,25.00%,,35,-33,,100.00%,4.60%,
"St. Paul, NE",Nov-17,$160K,146.50%,,1,0.00%,,,,,4,-20.00%,,184,149,,94.20%,-5.80%,
"St. Paul, NE",Feb-18,$117K,,,2,,,,,,2,,,164,,,93.50%,,
"St. Paul, NE",Mar-18,$190K,62.00%,27.50%,1,-50.00%,0.00%,1,,,2,0.00%,,226,62,8,92.70%,-0.90%,-3.50%
"St. Paul, NE",Jun-18,$80K,,,2,,,,,,3,,,50,,,100.00%,,
"St. Paul, NE",Jul-18,$75K,-6.30%,,3,50.00%,,1,,,2,-33.30%,,102,52,,89.80%,-10.10%,
"St. Paul, NE",Sep-18,$147K,,-6.50%,1,,-75.00%,1,,,4,,0.00%,49,,-19,94.80%,,-0.60%
"St. Paul, NE",Oct-18,$186K,26.50%,186.60%,2,100.00%,100.00%,,,,2,-50.00%,-60.00%,131,82,96,96.00%,1.20%,-4.00%
"St. Paul, NE",Feb-19,$85K,,-27.50%,1,,-50.00%,1,,,3,,50.00%,194,,30,106.50%,,13.00%
"St. Paul, NE",Mar-19,$150K,76.40%,-21.10%,1,0.00%,0.00%,,,,2,-33.30%,0.00%,192,-2,-34,100.00%,-6.50%,7.30%
"St. Paul, NE",Apr-19,$251K,67.10%,,1,0.00%,,1,,,2,0.00%,,52,-140,,100.20%,0.20%,
"St. Paul, NE",Jun-19,$185K,,131.10%,1,,-50.00%,,,,1,,-66.70%,230,,180,100.00%,,0.00%
"St. Paul, NE",Jul-19,$78K,-57.90%,3.90%,1,0.00%,-66.70%,,,,,,,106,-124,4,100.00%,0.00%,10.20%
"St. Paul, NE",Oct-19,$105K,,-43.50%,1,,-50.00%,2,,,2,,0.00%,82,,-49,91.30%,,-4.70%
"St. Paul, NE",Dec-19,$68K,,,1,,,,,,2,,,57,,,97.30%,,
"St. Paul, NE",Jan-20,$130K,91.20%,,1,0.00%,,,,,1,-50.00%,,93,36,,96.30%,-1.00%,
"St. Paul, NE",Mar-20,$149K,,-0.60%,2,,100.00%,1,,,1,,-50.00%,91,,-101,97.30%,,-2.70%
"St. Paul, NE",May-20,$142K,,,1,,,2,,,3,,,80,,,94.70%,,
"St. Paul, NE",Jul-20,$63K,,-19.10%,1,,0.00%,,,,3,,,58,,-48,96.90%,,-3.10%
"St. Paul, NE",Aug-20,$138K,118.90%,,1,0.00%,,,,,3,0.00%,,,,,103.00%,6.10%,
"St. Paul, NE",Oct-20,$151K,,43.80%,1,,0.00%,1,,-50.00%,3,,50.00%,117,,35,104.90%,,13.60%
"St. Paul, NE",Nov-20,$340K,125.20%,,1,0.00%,,,,,2,-33.30%,,178,61,,98.90%,-6.10%,
"St. Paul, NE",Dec-20,$154K,-54.70%,126.50%,1,0.00%,0.00%,1,,,2,0.00%,0.00%,75,-103,18,97.50%,-1.30%,0.20%
"St. Paul, NE",Mar-21,$195K,,30.90%,1,,-50.00%,1,,0.00%,2,,100.00%,85,,-6,100.00%,,2.70%
"St. Paul, NE",May-21,$126K,,-11.10%,2,,100.00%,,,,,,,58,,-22,97.20%,,2.50%
"St. Paul, NE",Oct-21,$164K,,8.60%,2,,100.00%,,,,2,,-33.30%,58,,-59,100.40%,,-4.50%
"St. Paul, NE",Nov-21,$185K,12.70%,-45.60%,1,-50.00%,0.00%,,,,1,-50.00%,-50.00%,59,1,-119,100.00%,-0.40%,1.10%
"St. Paul, NE",Jan-22,$175K,,,1,,,,,,1,,,616,,,95.60%,,
"St. Paul, NE",Mar-22,$120K,,-38.50%,1,,0.00%,,,,,,,262,,177,100.00%,,0.00%
"St. Paul, NE",Oct-22,$190K,,15.90%,1,,-50.00%,,,,1,,-50.00%,32,,-26,101.30%,,0.90%
"St. Paul, NE",Mar-23,$178K,,48.30%,1,,0.00%,1,,,1,,,244,,-18,100.00%,,0.00%
"St. Paul, NE",Apr-23,$115K,-35.40%,,1,0.00%,,,,,1,0.00%,,2,-242,,100.00%,0.00%,
"St. Paul, NE",Jun-23,$220K,,,1,,,1,,,1,,,47,,,96.10%,,
"St. Paul, NE",Aug-23,$185K,,,2,,,3,,,2,,,38,,,100.00%,,
"St. Paul, NE",Sep-23,$195K,5.40%,,1,-50.00%,,1,-66.70%,,2,0.00%,,6,-32,,97.50%,-2.50%,
"St. Paul, NE",Oct-23,$160K,-17.90%,-15.80%,1,0.00%,0.00%,,,,2,0.00%,100.00%,31,25,-1,91.40%,-6.10%,-9.90%
"St. Paul, NE",Dec-23,$235K,,,1,,,,,,1,,,43,,,100.00%,,
"St. Paul, NE",Jan-24,$185K,-21.20%,,1,0.00%,,3,,,3,200.00%,,1,-42,,100.00%,0.00%,
"St. Paul, NE",Mar-24,$200K,,12.40%,1,,0.00%,,,,2,,100.00%,15,,-229,91.30%,,-8.70%
"St. Paul, NE",Apr-24,$230K,15.00%,100.00%,1,0.00%,0.00%,,,,1,-50.00%,0.00%,55,40,53,100.00%,8.70%,0.00%
"St. Paul, NE",Jun-24,$465K,,111.40%,2,,100.00%,2,,100.00%,,,,55,,8,103.00%,,6.90%
"Stanton County, NE",Apr-12,$245K,,,1,,,,,,,,,184,,,85.20%,,
"Stanton County, NE",Oct-13,$152K,,,1,,,,,,,,,150,,,102.80%,,
"Stanton County, NE",Feb-16,$50K,,,1,,,5,,,12,,,80,,,76.90%,,
